,Subject ID,Gender,DOB,Test date,2nd Test date,interval,Age,First task,testing order,ToM_ass_T,ToM,Germ_ass_T,Germ,Psych_ass_T,Psycho,ToM_ass1,ToM_ass2,ToM_ass3,ToM_ass4,ToM_ass5,ToM_ass6,germ-Chris,germ-Dana,germ-Casey,germ-Riley,germ-Jordan,germ-Andy,psy-Charlie,psy-August,psy-Aiden,psy-Alex,psy-Ari,psy-Blake,check-Taylor,check-Gray,check-London,crayoncheck1,crayoncheck2,crayoncheck3,bandaidcheck1,bandaidcheck2,bandaidcheck3,SallyAnnecheck1,SallyAnnecheck2,beliefemotioncheck1,beliefemotioncheck2,ToM checking,Other checking,all checking,total yes in germ&psy,London,yesnobias,NewGerm,Germ
31,IEP2-45,Female,9/21/13,2/8/18,2/12/18,4,4.38329911,crayon,C2A1B1,1,table,0,temp,0,email(foot),1,0,0,0,0,0,n,n,n,n,n,n,n,n,n,n,n,n,0,0,1,1,1,1,1,1,1,1,0,1,1,0.888888889,0.333333333,0.769230769,0,1,1,0,temp
39,LS-37,Male,11/27/12,2/23/18,2/26/18,3,5.24,crayon,C1A1B2,0,table,0,temp,0,phone(tummy),0,0,0,0,0,0,n,n,n,n,n,n,n,n,n,n,n,n,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0.846153846,0,1,0,0,temp
53,RL-6,Male,6/21/13,4/9/18,4/18/18,9,4.8,Andy,A2B1C1,4,door,0,breakfast,0,phone(tummy),0,1,0,1,1,1,n,n,n,n,n,n,n,n,n,n,n,n,0,0,1,1,1,1,1,1,1,1,0,1,1,0.888888889,0.333333333,0.769230769,0,1,1,0,breakfast
74,GD-19,female,41474,43228,43234,6,4.81,n/a,C2A2B1,1,door,0,temp,0,email(foot),0,0,0,0,0,1,n,n,n,n,n,n,n,n,n,n,n,n,0,0,1,1,1,1,1,1,1,1,1,0,1,0.888888889,0.333333333,0.769230769,0,1,1,3,temp
24,IEP1-111,Female,4/22/14,2/2/18,2/5/18,3,3.783709788,crayon,C2A1B2,1,door,0,breakfast,1,phone(tummy),0,0,0,0,1,0,n,n,n,n,n,n,y,n,n,n,n,n,0,0,1,1,1,1,1,0,1,1,1,1,0,0.888888889,0.333333333,0.692307692,1,1,0,0,breakfast
28,IEP1-128,Female,8/14/13,2/2/18,2/9/18,7,4.470910335,crayon,A2B1C2,1,door,0,breakfast,1,phone(tummy),0,0,0,0,0,1,n,n,n,n,n,n,n,n,n,y,n,n,0,0,1,1,1,1,1,0,1,1,1,0,1,0.777777778,0.333333333,0.692307692,1,1,0,0,breakfast
30,IEP2-58,Female,6/14/13,2/8/18,2/12/18,4,4.654346338,crayon,B2C2A2,0,door,1,temp,0,phone(tummy),0,0,0,0,0,0,y,n,n,n,n,n,n,n,n,n,n,n,1,1,1,1,1,1,1,1,1,1,0,1,1,0.888888889,1,0.923076923,1,1,0,1,temp
21,IEP2-42,Male,1/5/13,1/26/18,1/29/18,3,5.056810404,Andy,B1C2A1,3,table,1,temp,1,phone(tummy),0,1,0,1,1,0,y,n,n,n,n,n,y,n,n,n,n,n,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0.846153846,2,0,0,1,temp
76,GD-6,female,41415,43229,43234,5,4.97,andy,A2B2C2,1,door,1,temp,1,phone(tummy),0,1,0,0,0,0,n,n,n,n,y,n,n,n,n,n,n,y,0,0,1,1,1,1,1,1,1,1,1,0,1,0.888888889,0.333333333,0.769230769,2,1,0,3,temp
15,IEP1-108,Male,12/14/12,12/8/17,12/12/17,4,4.982888433,Andy,B2C2A1,1,table,0,temp,3,phone(tummy),0,0,0,0,1,0,n,n,n,n,n,n,n,n,y,y,n,y,1,1,0,1,1,1,1,1,1,0,1,0,0,0.777777778,0.666666667,0.692307692,3,0,0,0,temp
